at,site,val,type
2023-03-06 15:09:21,4,0,
2023-03-06 17:43:27,1,1,
2023-03-06 13:13:34,1,3,
2023-03-06 17:20:43,0,3,
2023-03-06 14:54:21,4,1,
2023-03-06 17:17:36,4,0,
2023-03-06 16:51:50,2,1,
2023-03-06 16:45:23,2,3,
2023-03-06 09:53:19,0,2,
2023-03-06 17:12:19,1,-1,0.0
2023-03-06 13:21:29,1,1,
2023-03-06 11:22:29,1,3,
2023-03-06 13:10:22,1,2,
2023-03-06 17:03:23,3,2,
2023-03-06 15:46:11,2,1,
2023-03-06 09:25:39,1,4,
2023-03-06 17:00:58,0,3,
2023-03-06 10:44:17,0,2,
2023-03-06 12:05:53,4,0,
2023-03-06 17:46:06,4,0,
2023-03-06 16:04:47,3,3,
2023-03-06 09:24:02,0,3,
2023-03-06 17:30:24,0,1,
2023-03-06 08:46:15,2,1,
2023-03-06 09:01:28,4,0,
2023-03-06 18:06:30,3,3,
2023-03-06 11:58:04,3,3,
2023-03-06 17:34:23,4,2,
2023-03-06 09:10:05,3,4,
2023-03-06 10:55:18,2,0,
2023-03-06 14:16:11,4,1,
2023-03-06 15:21:34,4,2,
2023-03-06 14:47:34,0,1,
2023-03-06 18:00:55,4,1,
2023-03-06 15:58:34,2,3,
2023-03-06 13:30:32,0,1,
2023-03-06 18:05:54,2,3,
2023-03-06 11:45:13,1,1,
2023-03-06 08:37:40,2,1,
2023-03-06 14:06:31,1,1,
2023-03-06 15:06:15,0,1,
2023-03-06 14:26:42,3,-1,0.0
2023-03-06 16:57:28,2,1,
2023-03-06 13:18:41,3,4,
2023-03-06 11:17:57,3,2,
2023-03-06 14:38:40,1,1,
2023-03-06 15:54:58,1,2,
2023-03-06 13:03:26,1,1,
2023-03-06 14:06:33,2,-1,0.0
2023-03-06 10:53:06,2,3,
2023-03-06 14:08:35,4,0,
2023-03-06 15:02:53,0,0,
2023-03-06 13:12:21,0,2,
2023-03-06 12:13:01,4,0,
2023-03-06 17:14:37,4,4,
2023-03-06 11:27:21,4,4,
2023-03-06 15:28:26,3,2,
2023-03-06 14:38:07,3,4,
2023-03-06 09:00:27,4,1,
2023-03-06 18:03:48,0,4,
2023-03-06 13:35:42,4,1,
2023-03-06 08:55:17,1,2,
2023-03-06 17:31:51,4,1,
2023-03-06 12:23:44,2,0,
2023-03-06 15:09:21,4,1,
2023-03-06 14:10:34,4,4,
2023-03-06 14:15:38,4,3,
2023-03-06 17:52:46,2,1,
2023-03-06 09:29:36,1,1,
2023-03-06 13:35:58,3,4,
2023-03-06 17:29:42,4,1,
2023-03-06 12:56:44,4,-1,0.0
2023-03-06 18:10:36,4,0,
2023-03-06 10:52:40,1,0,
2023-03-06 17:58:59,2,3,
2023-03-06 10:09:15,2,2,
2023-03-06 17:06:03,0,2,
2023-03-06 08:49:08,3,0,
2023-03-06 10:05:43,0,2,
2023-03-06 15:53:17,4,0,
2023-03-06 18:06:47,2,-1,0.0
2023-03-06 17:15:25,2,2,
2023-03-06 11:25:19,1,2,
2023-03-06 09:26:37,2,0,
2023-03-06 12:27:55,2,2,
2023-03-06 09:08:35,0,2,
2023-03-06 10:53:03,4,0,
2023-03-06 16:57:35,2,1,
2023-03-06 11:46:15,4,0,
2023-03-06 08:30:34,0,3,
2023-03-06 09:07:51,2,3,
2023-03-06 13:15:07,1,3,
2023-03-06 09:55:00,1,2,
2023-03-06 17:43:43,3,3,
2023-03-06 14:52:33,0,1,
2023-03-06 11:04:44,2,2,
2023-03-06 12:15:17,3,2,
2023-03-06 10:25:48,2,0,
2023-03-06 17:36:20,3,-1,0.0
2023-03-06 13:58:37,2,2,
2023-03-06 17:25:11,3,4,
2023-03-06 13:34:20,1,2,
2023-03-06 14:47:14,1,2,
2023-03-06 16:04:37,0,1,
2023-03-06 14:48:30,2,3,
2023-03-06 17:15:52,1,1,
2023-03-06 13:21:03,4,1,
2023-03-06 16:52:38,4,0,
2023-03-06 15:41:37,2,3,
2023-03-06 14:54:53,3,2,
2023-03-06 15:46:58,4,1,
2023-03-06 16:02:32,2,1,
2023-03-06 15:19:56,4,0,
2023-03-06 09:25:14,2,0,
2023-03-06 11:57:32,1,1,
2023-03-06 09:25:02,1,1,
2023-03-06 14:42:25,2,1,
2023-03-06 16:04:59,3,3,
2023-03-06 09:27:56,1,2,
2023-03-06 14:19:44,1,2,
2023-03-06 13:21:34,4,2,
2023-03-06 10:42:33,1,2,
2023-03-06 16:00:49,2,1,
2023-03-06 14:07:54,0,1,
2023-03-06 15:51:37,3,2,
2023-03-06 16:45:16,2,3,
2023-03-06 11:57:09,0,1,
2023-03-06 11:14:03,4,1,
2023-03-06 08:42:00,0,2,
2023-03-06 10:52:48,4,1,
2023-03-06 11:38:56,0,1,
2023-03-06 11:45:17,3,-1,0.0
2023-03-06 13:56:31,0,1,
2023-03-06 15:28:02,4,4,
2023-03-06 16:30:32,4,4,
2023-03-06 14:28:42,0,2,
2023-03-06 11:56:54,0,2,
2023-03-06 10:39:56,3,4,
2023-03-06 16:28:59,3,2,
2023-03-06 18:13:35,3,3,
2023-03-06 17:18:58,4,0,
2023-03-06 15:49:00,0,3,
2023-03-06 13:28:39,4,1,
2023-03-06 08:49:05,3,4,
2023-03-06 12:09:35,1,3,
2023-03-06 16:21:00,3,2,
2023-03-06 15:24:55,3,-1,0.0
2023-03-06 17:15:31,4,2,
2023-03-06 15:49:43,3,4,
2023-03-06 17:24:47,3,-1,0.0
2023-03-06 16:03:58,1,1,
2023-03-06 10:22:55,2,4,
2023-03-06 14:10:24,2,2,
2023-03-06 11:35:47,3,2,
2023-03-06 08:54:49,2,1,
2023-03-06 15:00:26,1,2,
2023-03-06 12:19:30,3,2,
2023-03-06 17:36:17,1,2,
2023-03-06 17:51:47,1,0,
2023-03-06 14:06:15,4,1,
2023-03-06 12:17:33,3,4,
2023-03-06 09:04:27,4,1,
2023-03-06 10:29:16,4,0,
2023-03-06 17:35:35,2,1,
2023-03-06 14:11:31,3,3,
2023-03-06 16:36:53,4,4,
2023-03-06 14:28:20,1,3,
2023-03-06 11:06:03,1,1,
2023-03-06 17:21:49,3,-1,0.0
2023-03-06 12:19:29,4,4,
2023-03-06 13:14:19,1,2,
2023-03-06 16:15:36,3,3,
2023-03-06 13:35:27,2,2,
2023-03-06 17:38:15,4,1,
2023-03-06 13:51:38,3,4,
2023-03-06 11:50:54,0,1,
2023-03-06 12:58:49,3,4,
2023-03-06 09:45:10,4,1,
2023-03-06 11:20:50,2,1,
2023-03-06 11:13:52,3,3,
2023-03-06 17:29:01,2,2,
2023-03-06 10:58:45,2,1,
2023-03-06 17:19:41,4,2,
2023-03-06 13:09:06,4,2,
2023-03-06 16:29:33,4,3,
2023-03-06 18:13:03,1,2,
2023-03-06 10:12:13,4,0,
2023-03-06 18:13:41,4,1,
2023-03-06 09:20:47,4,1,
2023-03-06 14:53:17,3,4,
2023-03-06 13:46:47,1,2,
2023-03-06 09:33:28,1,2,
2023-03-06 16:04:33,2,2,
2023-03-06 15:32:52,2,1,
2023-03-06 17:59:19,0,3,
2023-03-06 12:46:48,4,1,
2023-03-06 17:35:42,3,3,
2023-03-06 14:33:52,1,1,
2023-03-06 16:32:07,3,4,
2023-03-06 12:03:06,0,2,
2023-03-06 14:52:39,0,3,
2023-03-06 18:02:29,1,1,
2023-03-06 08:47:58,4,1,
2023-03-06 09:58:07,3,4,
2023-03-06 17:08:38,1,1,
2023-03-06 17:51:37,3,4,
2023-03-06 12:32:50,3,3,
2023-03-06 10:42:33,2,0,
2023-03-06 14:42:31,2,0,
2023-03-06 12:37:12,1,3,
2023-03-06 13:45:14,2,4,
2023-03-06 13:24:16,1,2,
2023-03-06 08:51:08,2,0,
2023-03-06 12:21:43,4,0,
2023-03-06 16:19:33,4,1,
2023-03-06 15:13:17,1,2,
2023-03-06 10:41:53,0,0,
2023-03-06 11:34:02,1,3,
2023-03-06 13:34:19,3,2,
2023-03-06 11:39:01,4,2,
2023-03-06 15:40:53,2,1,
2023-03-06 11:36:18,4,1,
2023-03-06 13:30:40,3,2,
2023-03-06 17:05:08,2,1,
2023-03-06 15:07:47,2,4,
2023-03-06 09:05:44,3,4,
2023-03-06 08:48:41,2,1,
2023-03-06 10:44:34,2,0,
